id,group,difficulty,question,reference_answer,reference_evidence,evidence_row_ids_0based,evidence_urls_json,expected_hops,seed_entities,required_relations,adversarial_dimension,gold_reasoning,scoring_notes,source_scope
G5000-11,cross-doc,hard,Compare the May ServiceNow–NVIDIA announcement with the July AI Lighthouse announcement. What new entity and new program appear in July?,"The May announcement is a bilateral ServiceNow–NVIDIA partnership to build enterprise-grade generative AI. In July, Accenture is added and the three companies launch the AI Lighthouse program.",row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,"[746, 648]","[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]",2,"[""ServiceNow"", ""NVIDIA"", ""Accenture"", ""AI Lighthouse""]","[""PARTNERED_WITH"", ""LAUNCHED""]",Entity-set expansion over time,Compare participant sets and event type across the two documents.,Need both the new entity (Accenture) and new program (AI Lighthouse).,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-12,multi-hop,hard,"Starting from Now Assist, connect it to both a July platform enhancement and an October services alliance. What are the two outcomes?","In July, the Now Assist family was expanded with case summarization and text-to-code. In October, Deloitte and ServiceNow expanded their alliance to integrate Now Assist generative-AI capabilities with next-generation managed services.",row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services,"[1435, 411]","[""https://technews.tmcnet.com/news/2023/07/26/9854808.htm"", ""https://www.businesswire.com/news/home/20231025715145/en/Deloitte-and-ServiceNow-Expand-Alliance-to-Integrate-Now-Assist-Generative-AI-Capabilities-With-Next-Generation-Managed-Services""]",2,"[""Now Assist"", ""ServiceNow"", ""Deloitte""]","[""EXPANDED"", ""INTEGRATED_WITH""]",Product-to-partner traversal,Traverse from a product family to internal feature additions and an external services alliance.,Do not conflate Deloitte with the July feature development.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-13,factoid,hard,"Which three companies launched AI Lighthouse in the selected 5,000-row scope?","ServiceNow, NVIDIA, and Accenture.",row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,[648],"[""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]",1,"[""AI Lighthouse""]","[""LAUNCHED""]",Entity precision,Read the three launch participants from the title.,All three companies are required.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-14,multi-hop,hard,"Compare Microsoft's ChatGPT/OpenAI delivery to three customer contexts in 2023: a utility, private businesses, and U.S. federal agencies. What delivery mode is described for each?",DEWA said it was enriching utility services with ChatGPT technology supported by Microsoft; a May report said Microsoft could offer businesses a private ChatGPT running on dedicated servers; in June Microsoft unveiled Azure OpenAI Service for federal agencies/government cloud operations.,row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers,"[215, 4944, 3529]","[""https://www.businesswireindia.com/dewa-is-the-first-utility-in-the-world-to-enrich-its-services-with-chatgpt-technology-82997.html"", ""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/"", ""https://washingtontechnology.com/companies/2023/06/microsoft-unveils-openai-service-government-customers/387381/""]",3,"[""Microsoft"", ""DEWA"", ""ChatGPT"", ""Azure OpenAI Service""]","[""SUPPORTED"", ""PROPOSED"", ""LAUNCHED""]",Customer-segment and deployment-mode disambiguation,Join three Microsoft/OpenAI-related stories but keep the customer segment and rollout status distinct.,"Private ChatGPT was reported as a possible future offering, not a confirmed launch.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-15,cross-doc,hard,How did Microsoft's Copilot surface area change between March and September 2023?,"In March, Copilot was described as AI functionality being infused into Office apps including Word, Excel, and Outlook. By September, Microsoft announced a unified Copilot for Windows launching September 26 and unifying previously separate Copilot assistants, with the story also referencing Edge.",row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else,"[2471, 3043]","[""https://www.djc.com/news/ht/12155307.html"", ""https://www.theverge.com/2023/9/21/23883798/microsoft-copilot-unified-windows-11-apps-launch-date""]",2,"[""Microsoft"", ""Copilot"", ""Word"", ""Excel"", ""Outlook"", ""Windows"", ""Edge""]","[""DEVELOPED"", ""EXPANDED_TO""]",Temporal product-scope expansion,Compare application-level Office integration with later OS/browser-wide unification.,Need both the March Office scope and September unified Windows scope.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-16,cross-doc,hard,"Which Microsoft AI offering in the selected data was explicitly described as potentially running on dedicated servers, and how does its status differ from Azure OpenAI for federal agencies?","The private ChatGPT offering for businesses was described as potentially running on dedicated servers and as something that could be announced later. Azure OpenAI Service for federal agencies was described as unveiled in June, so it was a launched/unveiled government offering rather than a merely reported possibility.",row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers,"[4944, 3529]","[""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/"", ""https://washingtontechnology.com/companies/2023/06/microsoft-unveils-openai-service-government-customers/387381/""]",2,"[""Microsoft"", ""ChatGPT"", ""Azure OpenAI Service""]","[""PROPOSED"", ""LAUNCHED""]",Planned-vs-launched status trap,Compare modal language and rollout status.,Penalize treating the private business ChatGPT as already generally available.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-17,multi-hop,hard,"Reconstruct the early-June Microsoft outage incident from the three reports: what attack type was claimed, and which named services were affected?","The reports describe the same early-June Microsoft disruption as cyberattacks; a hacktivist group claimed it used distributed denial-of-service (DDoS) traffic. Named affected services include Outlook and OneDrive within Microsoft's office suite, as well as its cloud computing platform.",row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks,"[1943, 2566, 3284]","[""https://www.reuters.com/technology/microsoft-says-early-june-service-outages-were-cyberattacks-2023-06-18/"", ""https://www.kait8.com/2023/06/17/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks/"", ""https://www.military.com/daily-news/2023/06/18/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks.html""]",3,"[""Microsoft"", ""Outlook"", ""OneDrive""]","[""ATTACKED_BY"", ""AFFECTED""]",Deduplication + cyber incident aggregation,Collapse syndicated coverage into one incident and union the named affected services/attack mechanism.,Do not count three separate attacks simply because there are three articles.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-18,cross-doc,hard,"Why should rows 1943, 2566, and 3284 be treated as duplicate/follow-up evidence for one Microsoft incident rather than three independent outages?","All three are dated June 18, refer to the same early-June disruptions of Microsoft services/Outlook cloud platform, and attribute them to cyberattacks; two explicitly describe the same hacktivist DDoS claim. They therefore represent overlapping coverage of one incident.",row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks,"[1943, 2566, 3284]","[""https://www.reuters.com/technology/microsoft-says-early-june-service-outages-were-cyberattacks-2023-06-18/"", ""https://www.kait8.com/2023/06/17/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks/"", ""https://www.military.com/daily-news/2023/06/18/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks.html""]",2,"[""Microsoft""]","[""AFFECTED_BY""]",Event deduplication,"Use date, affected platform, and attack attribution to resolve event identity.","Full credit requires explaining shared event attributes, not merely saying the titles are similar.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-19,multi-hop,hard,"What did KPMG commit to spend, on what two technology areas, and through which partner relationship?",KPMG said it would spend $2 billion on artificial intelligence and cloud services through an expanded partnership with Microsoft.,row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services,[3054],"[""https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/""]",2,"[""KPMG"", ""Microsoft""]","[""INVESTED_IN"", ""PARTNERED_WITH""]",Numeric + relation precision,"Extract amount, technology areas, and partner edge.","Must include $2 billion, AI, cloud services, and Microsoft.",ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-20,cross-doc,hard,How did Options Technology's Microsoft partner designations expand from May to June 2023?,"In May, Options Technology announced Microsoft Solutions Partner status for Infrastructure. In June, it announced Microsoft Solutions Partner status for Security, expanding the documented specialization from infrastructure to security.",row 1187 (2023-05-10 09:54:00): Options Announces Achievement of Microsoft Infrastructure Solutions Partner Status | row 1229 (2023-06-08 15:42:00): Options Named Microsoft Solutions Partner for Security,"[1187, 1229]","[""https://technews.tmcnet.com/news/2023/05/10/9811196.htm"", ""https://www.galvnews.com/news_ap/business/options-named-microsoft-solutions-partner-for-security/article_806d69f3-5ed0-53ec-82fe-0900d3b49515.html""]",2,"[""Options Technology"", ""Microsoft""]","[""PARTNERED_WITH"", ""CERTIFIED_AS""]",Temporal certification/entity-resolution,Resolve the same company across two partner-status articles and compare designations.,Need both Infrastructure and Security in the correct date order.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-21,multi-hop,hard,Combine Microsoft's Poland infrastructure story with KPMG's July AI/cloud investment story. What two distinct kinds of Microsoft cloud expansion are represented?,"Microsoft launched a cloud data storage/processing hub in central Poland, representing physical cloud infrastructure expansion. Separately, KPMG committed $2 billion to AI and cloud services through an expanded Microsoft partnership, representing partner-led service and adoption investment.",row 3337 (2023-04-26 22:23:00): Microsoft opens top cloud data processing hub in Poland | row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services,"[3337, 3054]","[""https://www.sandiegouniontribune.com/business/nation/story/2023-04-26/microsoft-opens-top-cloud-data-processing-hub-in-poland"", ""https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/""]",2,"[""Microsoft"", ""Poland"", ""KPMG""]","[""LAUNCHED"", ""PARTNERED_WITH"", ""INVESTED_IN""]",Infrastructure-vs-services disambiguation,Connect two cloud-related stories without collapsing infrastructure construction into partnership investment.,Both expansion types must be named.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-22,multi-hop,hard,"From Office Copilot to unified Windows Copilot, what entities and surfaces form the product-expansion path?","Microsoft Copilot first appears across Office applications such as Word, Excel, and Outlook; later Microsoft describes a unified Copilot for Windows that consolidates formerly separate assistants and is also tied to Edge in the story framing.",row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else,"[2471, 3043]","[""https://www.djc.com/news/ht/12155307.html"", ""https://www.theverge.com/2023/9/21/23883798/microsoft-copilot-unified-windows-11-apps-launch-date""]",3,"[""Microsoft"", ""Copilot""]","[""DEPLOYED_IN"", ""EXPANDED_TO""]",Product graph traversal,Follow one product entity across multiple software surfaces and dates.,Need at least two Office apps plus Windows/unification.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-23,cross-doc,hard,"Which Microsoft-related story is a confirmed external customer use of ChatGPT, and which is only a reported potential product for businesses?",DEWA's February announcement is a confirmed customer use case: it said it was working to enrich services with ChatGPT technology supported by Microsoft. The May private-ChatGPT-for-businesses story is only a reported potential future offering that could be announced later.,row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost,"[215, 4944]","[""https://www.businesswireindia.com/dewa-is-the-first-utility-in-the-world-to-enrich-its-services-with-chatgpt-technology-82997.html"", ""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/""]",2,"[""DEWA"", ""Microsoft"", ""ChatGPT""]","[""USES"", ""SUPPORTED_BY"", ""PROPOSED""]",Confirmed-vs-rumored edge status,Compare actual customer adoption with reported product planning.,Penalize answers that convert the May report into a confirmed deployment.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-24,factoid,hard,What Microsoft settlement amount is reported for illegally collecting children's personal information?,$20 million.,row 2511 (2023-06-07 09:36:00): Microsoft pays $20 million settlement for collecting children’s data,[2511],"[""https://www.fudzilla.com/news/57039-microsoft-pays-20-million-settlement-for-collecting-children-s-data""]",1,"[""Microsoft"", ""FTC""]","[""SETTLED_WITH""]",Numeric precision,Retrieve the settlement amount exactly.,Answer must be $20 million.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
G5000-25,cross-doc,hard,"Was AWS reported to have adopted AMD's new AI chips, or only to be evaluating them? What evidence in the selected data prevents a false adoption edge?","AWS was reported to be considering AMD's new AI chips, and an AWS executive said no final decision had been made. Therefore the graph should store an evaluation/consideration relation, not a confirmed adoption or purchase.",row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips,[2905],"[""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/""]",1,"[""AWS"", ""AMD""]","[""CONSIDERING""]",Negative/uncertain relation extraction,Preserve uncertainty and avoid converting consideration into adoption.,Any answer claiming confirmed AWS adoption is incorrect.,ONLY first 5000 data rows of hackernoon_subset.csv (pandas index 0-4999)
