id,group,question,reference_answer,reference_evidence
G5000-14,multi-hop,"Compare Microsoft's ChatGPT/OpenAI delivery to three customer contexts in 2023: a utility, private businesses, and U.S. federal agencies. What delivery mode is described for each?",DEWA said it was enriching utility services with ChatGPT technology supported by Microsoft; a May report said Microsoft could offer businesses a private ChatGPT running on dedicated servers; in June Microsoft unveiled Azure OpenAI Service for federal agencies/government cloud operations.,row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers
G5000-15,cross-doc,How did Microsoft's Copilot surface area change between March and September 2023?,"In March, Copilot was described as AI functionality being infused into Office apps including Word, Excel, and Outlook. By September, Microsoft announced a unified Copilot for Windows launching September 26 and unifying previously separate Copilot assistants, with the story also referencing Edge.",row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else
G5000-16,cross-doc,"Which Microsoft AI offering in the selected data was explicitly described as potentially running on dedicated servers, and how does its status differ from Azure OpenAI for federal agencies?","The private ChatGPT offering for businesses was described as potentially running on dedicated servers and as something that could be announced later. Azure OpenAI Service for federal agencies was described as unveiled in June, so it was a launched/unveiled government offering rather than a merely reported possibility.",row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers
G5000-17,multi-hop,"Reconstruct the early-June Microsoft outage incident from the three reports: what attack type was claimed, and which named services were affected?","The reports describe the same early-June Microsoft disruption as cyberattacks; a hacktivist group claimed it used distributed denial-of-service (DDoS) traffic. Named affected services include Outlook and OneDrive within Microsoft's office suite, as well as its cloud computing platform.",row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks
G5000-18,cross-doc,"Why should rows 1943, 2566, and 3284 be treated as duplicate/follow-up evidence for one Microsoft incident rather than three independent outages?","All three are dated June 18, refer to the same early-June disruptions of Microsoft services/Outlook cloud platform, and attribute them to cyberattacks; two explicitly describe the same hacktivist DDoS claim. They therefore represent overlapping coverage of one incident.",row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks
G5000-19,multi-hop,"What did KPMG commit to spend, on what two technology areas, and through which partner relationship?",KPMG said it would spend $2 billion on artificial intelligence and cloud services through an expanded partnership with Microsoft.,row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services
G5000-20,cross-doc,How did Options Technology's Microsoft partner designations expand from May to June 2023?,"In May, Options Technology announced Microsoft Solutions Partner status for Infrastructure. In June, it announced Microsoft Solutions Partner status for Security, expanding the documented specialization from infrastructure to security.",row 1187 (2023-05-10 09:54:00): Options Announces Achievement of Microsoft Infrastructure Solutions Partner Status | row 1229 (2023-06-08 15:42:00): Options Named Microsoft Solutions Partner for Security
G5000-21,multi-hop,Combine Microsoft's Poland infrastructure story with KPMG's July AI/cloud investment story. What two distinct kinds of Microsoft cloud expansion are represented?,"Microsoft launched a cloud data storage/processing hub in central Poland, representing physical cloud infrastructure expansion. Separately, KPMG committed $2 billion to AI and cloud services through an expanded Microsoft partnership, representing partner-led service and adoption investment.",row 3337 (2023-04-26 22:23:00): Microsoft opens top cloud data processing hub in Poland | row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services
G5000-22,multi-hop,"From Office Copilot to unified Windows Copilot, what entities and surfaces form the product-expansion path?","Microsoft Copilot first appears across Office applications such as Word, Excel, and Outlook; later Microsoft describes a unified Copilot for Windows that consolidates formerly separate assistants and is also tied to Edge in the story framing.",row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else
G5000-23,cross-doc,"Which Microsoft-related story is a confirmed external customer use of ChatGPT, and which is only a reported potential product for businesses?",DEWA's February announcement is a confirmed customer use case: it said it was working to enrich services with ChatGPT technology supported by Microsoft. The May private-ChatGPT-for-businesses story is only a reported potential future offering that could be announced later.,row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost
G5000-24,factoid,What Microsoft settlement amount is reported for illegally collecting children's personal information?,$20 million.,row 2511 (2023-06-07 09:36:00): Microsoft pays $20 million settlement for collecting children’s data
G5000-25,cross-doc,"Was AWS reported to have adopted AMD's new AI chips, or only to be evaluating them? What evidence in the selected data prevents a false adoption edge?","AWS was reported to be considering AMD's new AI chips, and an AWS executive said no final decision had been made. Therefore the graph should store an evaluation/consideration relation, not a confirmed adoption or purchase.",row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips
G5000-26,multi-hop,"What external technology provider is named inside Amazon's July AI-service expansion, and what other new AI capability is mentioned alongside it?",Amazon's AI-service story names access to technology from Cohere. It also mentions a program for building more conversational customer-service agents; one follow-up additionally mentions a healthcare system for generating clinical notes after patient visits.,row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google
G5000-27,cross-doc,How should the graph reconcile the statement that AMD powers multiple cloud services with the later Reuters report about AWS considering AMD AI chips?,The June 1 investment article broadly says AMD powers multiple cloud services through its chips. The June 14 Reuters report specifically says AWS was only considering AMD's new AI chips and had not made a final decision. Therefore the broad cloud relationship must not be specialized into a confirmed AWS adoption of the new AI chips.,row 3357 (2023-06-01 13:16:00): 3 Best Cloud Stocks to Buy in June | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips
G5000-28,multi-hop,"Which model providers are connected to Google Cloud Next '23 in the selected data, and which models are associated with each provider?","Meta is connected via Llama 2 and Code Llama; the Technology Innovation Institute is connected via Falcon LLM; Anthropic is connected via Claude 2, which Google Cloud pre-announced.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud
G5000-29,cross-doc,How did participation in White House AI commitments broaden from July to September 2023 according to the selected reports?,"The July report names seven companies including Google, Meta, and OpenAI as making voluntary AI commitments. The September report says IBM, Adobe, Salesforce, and five more companies made similar safety, security, and transparency commitments, explicitly noting similarity to the July pledges by OpenAI and others.",row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI | row 3330 (2023-09-12 10:00:00): More tech companies take White House AI safety pledge
G5000-30,multi-hop,"Meta appears in two different AI contexts in the selected data. What are they, and what distinct relation should the graph store in each case?","At Google Cloud Next, Meta is the provider/source of Llama 2 and Code Llama models made available on Google Cloud. Separately, Meta is one of the companies named in the July White House voluntary AI commitments. These are a model-provider/platform relation and a policy/safety-commitment relation, respectively.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI
G5000-31,multi-hop,"Order OpenAI's ecosystem moves from March through July 2023 using the selected sources: plug-ins, open-source model planning, marketplace planning, and AP collaboration.",March: ChatGPT gained support for about a dozen application plug-ins. May: OpenAI was reported to be preparing a new open-source language model. June: OpenAI was reported to plan an app-store/marketplace for developers to sell AI models built on its technology. July: AP and OpenAI announced a collaboration to share select news content and technology for generative-AI use cases.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 946 (2023-05-15 22:36:00): OpenAI readies new open-source AI model The Information reports | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports | row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration
G5000-32,cross-doc,What is the difference between OpenAI's March plug-in development and its June reported app-store plan?,The March story describes ChatGPT gaining support for application plug-ins so companies can expose product functionality to the assistant. The June story describes a planned marketplace where developers could sell AI models built on OpenAI technology. One is runtime integration support; the other is a proposed commercial distribution marketplace.,row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports
G5000-33,cross-doc,"Which July OpenAI-related event is a content/technology collaboration, and which July event is a voluntary governance commitment?","The AP–OpenAI agreement is a collaboration to share access to select news content and technology for generative-AI use cases. Separately, OpenAI is named among companies making voluntary White House commitments on developing and managing AI.",row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI
G5000-34,multi-hop,Compare how Google Cloud and Amazon expanded their AI ecosystems in the selected data. Which third-party model/technology suppliers are named for each?,"Google Cloud announced models from Meta (Llama 2 and Code Llama), the Technology Innovation Institute (Falcon LLM), and pre-announced Anthropic's Claude 2. Amazon's July AI-service expansion named technology access from Cohere, alongside conversational customer-service tooling.",row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google
G5000-35,cross-doc,Contrast AWS's AMD-chip posture with HPE's AI-cloud posture. Which is a tentative hardware sourcing decision and which is a service offering?,"AWS was only considering AMD's new AI chips, with no final decision. HPE said it would offer a cloud computing service specifically for large language models, drawing on its supercomputing experience. Thus AWS is a tentative sourcing/evaluation relation, while HPE is an AI service-offering relation.",row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence
G5000-36,cross-doc,"Rows 2532 and 2537 have near-identical Amazon AI headlines. What single event should be stored, and what details can be safely unioned?","They should be stored as one Amazon AI-service expansion story competing with Microsoft and Google. Safe unioned details include a conversational customer-service-agent program, access to Cohere technology, and (from the follow-up) a healthcare system for generating clinical notes after patient visits.",row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google
G5000-37,cross-doc,What evidence shows Dell NativeEdge moving from a May product announcement to a July use-case description?,The May Dell Technologies World report says Dell released NativeEdge. A July networking article describes NativeEdge as a platform that could make edge applications and infrastructure easier to deploy and manage through validated designs for industry-specific use cases.,row 4407 (2023-05-24 02:49:00): Projects become products: Dell unveils its long-term game plan for the edge | row 4997 (2023-07-17 00:00:00): Networking and communication
G5000-38,multi-hop,How do Dell's APEX Cloud Platforms and NativeEdge represent two different infrastructure layers in its portfolio?,APEX Cloud Platforms are presented as part of Dell's cloud-smart/multicloud strategy and integrate services from Microsoft Azure. NativeEdge is positioned for deploying and managing edge computing applications and infrastructure. The first is multicloud/cloud-platform integration; the second is edge deployment/management.,row 1808 (2023-05-26 14:56:00): From multicloud challenges to ‘cloud-smart’ solutions: How Dell is simplifying multicloud complexity | row 4407 (2023-05-24 02:49:00): Projects become products: Dell unveils its long-term game plan for the edge | row 4997 (2023-07-17 00:00:00): Networking and communication
G5000-39,multi-hop,What two strategic capability areas did HPE expand in 2023 through the Axis Security deal and its later AI cloud announcement?,"HPE moved to expand edge-to-cloud security by agreeing to acquire Axis Security, enabling a unified SASE offering. Later it announced a cloud computing service specifically for large language models, leveraging HPE's supercomputing experience. The two areas are integrated networking/security and AI/LLM cloud services.",row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence
G5000-40,cross-doc,"Compare Dell and HPE's cloud strategies in the selected scope: which one explicitly integrates Microsoft Azure services, and which one emphasizes a service for LLMs?","Dell's APEX Cloud Platforms story explicitly says the platform integrates services from Microsoft Azure. HPE's story emphasizes a cloud computing service specifically for large language models, based on its supercomputing experience.",row 1808 (2023-05-26 14:56:00): From multicloud challenges to ‘cloud-smart’ solutions: How Dell is simplifying multicloud complexity | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence
G5000-41,factoid,"Which company did HPE agree to acquire to expand edge-to-cloud security, and what unified security architecture did the report say the deal would support?",Axis Security; a unified Secure Access Service Edge (SASE) solution.,row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security
G5000-42,multi-hop,"Starting from the edge-computing concept, connect one Dell product and one HPE transaction to two different edge-related outcomes.",Dell NativeEdge is described as helping deploy and manage edge computing applications and infrastructure. HPE's planned acquisition of Axis Security is described as expanding edge-to-cloud security capabilities and enabling a unified SASE solution.,row 4997 (2023-07-17 00:00:00): Networking and communication | row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security
G5000-43,cross-doc,"Which came first in the selected HPE timeline: the Axis Security acquisition agreement or the LLM-focused cloud service announcement, and what does that ordering show?","The Axis Security acquisition agreement came first on March 2, 2023; the HPE LLM-focused cloud service story followed on June 21, 2023. The ordering shows HPE expanding security capabilities before the later AI-cloud service initiative in this dataset slice.",row 4762 (2023-03-02 22:32:00): Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence
G5000-44,multi-hop,What two distinct partner ecosystems connect L&T Technology Services to advanced infrastructure in 2023: one for urban-rail 5G and one for OT security?,"For urban-rail private 5G, Thales selected L&T Technology Services and Qualcomm. For OT security, L&T Technology Services joined with Palo Alto Networks as an MSSP partner to provide a comprehensive security platform for industrial/OT environments.",row 261 (2023-02-23 10:51:00): L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 891 (2023-02-23 12:45:00): L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 471 (2023-06-30 08:53:00): L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings
G5000-45,cross-doc,Rows 261 and 891 describe L&T Technology Services and Qualcomm being selected by Thales. How should a production graph avoid double-counting this?,"The two reports describe the same Thales selection of L&T Technology Services and Qualcomm for enabling 5G private networks in urban railways. They should be canonicalized as one event with multiple source documents/provenance entries, not two separate selection edges.",row 261 (2023-02-23 10:51:00): L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways | row 891 (2023-02-23 12:45:00): L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways
G5000-46,cross-doc,Distinguish the cybersecurity relationships in the Keysight–Synopsys article and the LTTS–Palo Alto Networks article. Which is IoT-device cybersecurity and which is OT security?,"Keysight and Synopsys are the partners in the IoT-device cybersecurity article. L&T Technology Services and Palo Alto Networks are the partners for OT security offerings, with LTTS acting as an MSSP partner. The first is IoT-device security; the second is industrial/OT security.",row 272 (2023-09-21 16:15:00): Keysight and Synopsys Partner for IoT Device Cybersecurity | row 471 (2023-06-30 08:53:00): L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings
G5000-47,factoid,"In the Keysight–Synopsys IoT cybersecurity record, does the mention of Palo Alto Networks establish Palo Alto as a partner in that deal?","No. The title identifies Keysight and Synopsys as the partners. Palo Alto Networks appears only as the source of an IoT Threat Report cited in the description, not as a participant in the partnership.",row 272 (2023-09-21 16:15:00): Keysight and Synopsys Partner for IoT Device Cybersecurity
G5000-48,multi-hop,"Combine the three Snowflake-related records to summarize Snowflake's role in the 2023 cloud/data ecosystem: what AI integration, market recognition, and demand signal are present?","H2O.ai launched H2O AI Cloud as a pre-built solution for Snowflake's Manufacturing Data Cloud; Snowflake was listed among the CRN Big Data 100 cloud/platform companies alongside AWS, Google Cloud, IBM, and Microsoft; and an August Reuters report said Snowflake beat quarterly estimates amid strong demand for data-management services as enterprises moved data/infrastructure to the cloud.",row 3498 (2023-04-13 16:02:00): H2O.ai Brings H2O AI Cloud to the Snowflake Manufacturing Data Cloud | row 2589 (2023-04-25 14:00:00): The Coolest Big Data System And Cloud Platform Companies Of The 2023 Big Data 100 | row 1668 (2023-08-23 22:25:00): Snowflake beats quarterly estimates on strong demand for data management services
G5000-49,multi-hop,"Across the selected Samsung records, identify three distinct technology domains Samsung is connected to and the specific evidence for each.",Display/biometric sensing: Samsung unveiled a Sensor OLED Display with an embedded light-sensing organic photodiode for sensing functions. Smart home: Samsung worked with Aqara to add SmartThings compatibility to the FP2 Presence Sensor. Semiconductors: Samsung's System LSI Tech Day report highlighted new analog and logic semiconductor innovations and a future technology blueprint.,row 472 (2023-05-23 22:48:00): Samsung unveils OLED display with embedded heart rate sensor | row 395 (2023-10-05 23:24:00): SDC23: Samsung and Aqara Partners to Demonstrate Presence Sensor FP2 on SmartThings Platform | row 43 (2023-10-05 22:27:00): Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023
G5000-50,multi-hop,"Compare the chip-related AI positioning of NVIDIA, AMD, and Intel in the selected 5,000-row scope. What distinct signal is reported for each?","NVIDIA reported that use of its chips for AI services such as chatbots had gone 'through the roof' and its sales outlook beat expectations. AMD was named as a possible supplier of new AI chips to AWS, but AWS had made no final decision. Intel said its 3D V-Cache/chip-stacking approach would differ from AMD's and would be used for Intel processors and offered to foundry customers.",row 3432 (2023-02-22 23:36:00): As chatbots boom Nvidia sales outlook beats Wall Street expectations | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3714 (2023-09-19 22:38:00): Intel: Our 3D V-Cache Tech Will Take a Different Approach Than AMD
