entity_a,entity_b,similarity,guard_reason,decision
dell,microsoft,0.4979,GUARD_PASS,REJECT_THRESHOLD
dell,hpe,0.3014,GUARD_PASS,REJECT_THRESHOLD
dell,dewa,0.2879,GUARD_PASS,REJECT_THRESHOLD
dell,google cloud,0.2693,GUARD_PASS,REJECT_THRESHOLD
dell,synopsys,0.2658,GUARD_PASS,REJECT_THRESHOLD
dell,iot accelerator,0.2324,GUARD_PASS,REJECT_THRESHOLD
nativeedge,accenture,0.3253,GUARD_PASS,REJECT_THRESHOLD
nativeedge,microsoft,0.2814,GUARD_PASS,REJECT_THRESHOLD
nativeedge,dewa,0.2787,GUARD_PASS,REJECT_THRESHOLD
nativeedge,aeris,0.2498,GUARD_PASS,REJECT_THRESHOLD
nativeedge,keysight,0.2283,GUARD_PASS,REJECT_THRESHOLD
associated press,microsoft,0.3197,GUARD_PASS,REJECT_THRESHOLD
associated press,white house,0.2892,GUARD_PASS,REJECT_THRESHOLD
associated press,aeris,0.2806,GUARD_PASS,REJECT_THRESHOLD
associated press,accenture,0.2432,GUARD_PASS,REJECT_THRESHOLD
associated press,ericsson,0.2342,GUARD_PASS,REJECT_THRESHOLD
associated press,synopsys,0.2295,GUARD_PASS,REJECT_THRESHOLD
hpe,microsoft,0.3878,GUARD_PASS,REJECT_THRESHOLD
hpe,h2oai,0.3535,GUARD_PASS,REJECT_THRESHOLD
hpe,synopsys,0.3522,GUARD_PASS,REJECT_THRESHOLD
hpe,thales,0.3124,GUARD_PASS,REJECT_THRESHOLD
hpe,google cloud,0.2753,GUARD_PASS,REJECT_THRESHOLD
hpe,dewa,0.2747,GUARD_PASS,REJECT_THRESHOLD
axis security,synopsys,0.2252,GUARD_PASS,REJECT_THRESHOLD
axis security,microsoft,0.2143,GUARD_PASS,REJECT_THRESHOLD
axis security,qualcomm,0.1593,GUARD_PASS,REJECT_THRESHOLD
axis security,keysight,0.1532,GUARD_PASS,REJECT_THRESHOLD
axis security,aeris,0.1502,GUARD_PASS,REJECT_THRESHOLD
axis security,iot accelerator,0.1282,GUARD_PASS,REJECT_THRESHOLD
aeris,accenture,0.3456,GUARD_PASS,REJECT_THRESHOLD
aeris,ericsson,0.3252,GUARD_PASS,REJECT_THRESHOLD
aeris,thales,0.3231,GUARD_PASS,REJECT_THRESHOLD
aeris,keysight,0.3038,GUARD_PASS,REJECT_THRESHOLD
aeris,microsoft,0.257,GUARD_PASS,REJECT_THRESHOLD
aeris,dewa,0.2537,GUARD_PASS,REJECT_THRESHOLD
iot accelerator,qualcomm,0.3294,GUARD_PASS,REJECT_THRESHOLD
iot accelerator,google cloud,0.3185,GUARD_PASS,REJECT_THRESHOLD
iot accelerator,connected vehicle cloud,0.2552,GUARD_PASS,REJECT_THRESHOLD
iot accelerator,synopsys,0.2174,GUARD_PASS,REJECT_THRESHOLD
iot accelerator,microsoft,0.2071,GUARD_PASS,REJECT_THRESHOLD
connected vehicle cloud,google cloud,0.5155,GUARD_PASS,REJECT_THRESHOLD
connected vehicle cloud,nvidia,0.1998,GUARD_PASS,REJECT_THRESHOLD
connected vehicle cloud,synopsys,0.1922,GUARD_PASS,REJECT_THRESHOLD
connected vehicle cloud,h2oai,0.1668,GUARD_PASS,REJECT_THRESHOLD
connected vehicle cloud,thales,0.1495,GUARD_PASS,REJECT_THRESHOLD
ericsson,now assist,0.2788,GUARD_PASS,REJECT_THRESHOLD
ericsson,thales,0.2639,GUARD_PASS,REJECT_THRESHOLD
ericsson,meta,0.2564,GUARD_PASS,REJECT_THRESHOLD
ericsson,keysight,0.2562,GUARD_PASS,REJECT_THRESHOLD
ericsson,dewa,0.2472,GUARD_PASS,REJECT_THRESHOLD
nvidia,microsoft,0.39,GUARD_PASS,REJECT_THRESHOLD
nvidia,google cloud,0.3256,GUARD_PASS,REJECT_THRESHOLD
nvidia,keysight,0.2824,GUARD_PASS,REJECT_THRESHOLD
nvidia,qualcomm,0.2718,GUARD_PASS,REJECT_THRESHOLD
qualcomm,microsoft,0.3125,GUARD_PASS,REJECT_THRESHOLD
qualcomm,thales,0.243,GUARD_PASS,REJECT_THRESHOLD
qualcomm,synopsys,0.2316,GUARD_PASS,REJECT_THRESHOLD
thales,dewa,0.4007,GUARD_PASS,REJECT_THRESHOLD
thales,synopsys,0.3378,GUARD_PASS,REJECT_THRESHOLD
thales,snowflake,0.3274,GUARD_PASS,REJECT_THRESHOLD
thales,accenture,0.2692,GUARD_PASS,REJECT_THRESHOLD
thales,now assist,0.2654,GUARD_PASS,REJECT_THRESHOLD
accenture,keysight,0.35,GUARD_PASS,REJECT_THRESHOLD
accenture,meta,0.2821,GUARD_PASS,REJECT_THRESHOLD
accenture,microsoft,0.2737,GUARD_PASS,REJECT_THRESHOLD
dewa,h2oai,0.3159,GUARD_PASS,REJECT_THRESHOLD
dewa,snowflake,0.2777,GUARD_PASS,REJECT_THRESHOLD
dewa,meta,0.2587,GUARD_PASS,REJECT_THRESHOLD
microsoft,google cloud,0.3981,GUARD_PASS,REJECT_THRESHOLD
microsoft,keysight,0.3388,GUARD_PASS,REJECT_THRESHOLD
google cloud,synopsys,0.275,GUARD_PASS,REJECT_THRESHOLD
meta,snowflake,0.4696,GUARD_PASS,REJECT_THRESHOLD
meta,white house,0.3135,GUARD_PASS,REJECT_THRESHOLD
meta,keysight,0.291,GUARD_PASS,REJECT_THRESHOLD
keysight,synopsys,0.2909,GUARD_PASS,REJECT_THRESHOLD
synopsys,h2oai,0.3135,GUARD_PASS,REJECT_THRESHOLD
white house,snowflake,0.2969,GUARD_PASS,REJECT_THRESHOLD
